🕘️更新时间,#genre#
2025-08-30 06:11:31,http://8.134.110.147:5300/?id=cctv1

📺央视频道,#genre#
CCTV-1,http://8.134.110.147:5300/?id=cctv1
CCTV-2,http://8.134.110.147:5300/?id=cctv2
CCTV-3,http://8.134.110.147:5300/?id=cctv3
CCTV-4,http://8.134.110.147:5300/?id=cctv4
CCTV-6,http://8.134.110.147:5300/?id=cctv6
CCTV-7,http://8.134.110.147:5300/?id=cctv7
CCTV-8,http://8.134.110.147:5300/?id=cctv8
CCTV-9,http://8.134.110.147:5300/?id=cctv9
CCTV-10,http://8.134.110.147:5300/?id=cctv10
CCTV-12,http://8.134.110.147:5300/?id=cctv12
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-13,http://8.134.110.147:5300/?id=cctv13
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-14,http://8.134.110.147:5300/?id=cctv14
CCTV-15,http://8.134.110.147:5300/?id=cctv15
CCTV-17,http://8.134.110.147:5300/?id=cctv17

📚中国教育频道,#genre#

📡卫视频道,#genre#
东方卫视,http://8.134.110.147:5300/?id=dfws
江苏卫视,http://8.134.110.147:5300/?id=jsws
广东卫视,http://8.134.110.147:5300/?id=gdws
江西卫视,http://8.134.110.147:5300/?id=jxws
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://8.134.110.147:5300/?id=hnws
陕西卫视,http://8.134.110.147:5300/?id=sxws
云南卫视,https://hwapi.yntv.net/ew265l/z1z6s5.m3u8

🏕️湖南频道,#genre#
湖南爱晚,http://p2.vzan.com/527645544/149039617847513156/live.m3u8

🏀体育频道,#genre#
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=292&amp;amp;time=20240926215313&amp;amp;ip=111.229.253.40
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=291&time=20240926215313&ip=111.229.253.40

🦄动画频道,#genre#
CN卡通,https://cdn.iptv8k.top/dl/jrys.php?id=364&time=20240926215313&ip=111.229.253.40
优漫卡通,http://8.134.110.147:5300/?id=ymkt
